             rho            U_eq          phi_eq               q            j_eq            p_eq
      0.2020E+00      0.0000E+00      0.0000E+00      0.2082E+01      0.9219E+00      0.3265E-01
      0.2028E+00      0.0000E+00      0.0000E+00      0.2082E+01      0.9213E+00      0.3265E-01
      0.2037E+00      0.0000E+00      0.0000E+00      0.2083E+01      0.9207E+00      0.3264E-01
      0.2046E+00      0.0000E+00      0.0000E+00      0.2084E+01      0.9200E+00      0.3264E-01
      0.2055E+00      0.0000E+00      0.0000E+00      0.2084E+01      0.9194E+00      0.3263E-01
      0.2063E+00      0.0000E+00      0.0000E+00      0.2085E+01      0.9187E+00      0.3262E-01
      0.2072E+00      0.0000E+00      0.0000E+00      0.2086E+01      0.9181E+00      0.3262E-01
      0.2081E+00      0.0000E+00      0.0000E+00      0.2087E+01      0.9174E+00      0.3261E-01
      0.2090E+00      0.0000E+00      0.0000E+00      0.2087E+01      0.9168E+00      0.3261E-01
      0.2099E+00      0.0000E+00      0.0000E+00      0.2088E+01      0.9161E+00      0.3260E-01
      0.2107E+00      0.0000E+00      0.0000E+00      0.2089E+01      0.9154E+00      0.3259E-01
      0.2116E+00      0.0000E+00      0.0000E+00      0.2090E+01      0.9148E+00      0.3259E-01
      0.2125E+00      0.0000E+00      0.0000E+00      0.2090E+01      0.9141E+00      0.3258E-01
      0.2134E+00      0.0000E+00      0.0000E+00      0.2091E+01      0.9134E+00      0.3257E-01
      0.2143E+00      0.0000E+00      0.0000E+00      0.2092E+01      0.9128E+00      0.3257E-01
      0.2151E+00      0.0000E+00      0.0000E+00      0.2093E+01      0.9121E+00      0.3256E-01
      0.2160E+00      0.0000E+00      0.0000E+00      0.2093E+01      0.9114E+00      0.3256E-01
      0.2169E+00      0.0000E+00      0.0000E+00      0.2094E+01      0.9108E+00      0.3255E-01
      0.2178E+00      0.0000E+00      0.0000E+00      0.2095E+01      0.9101E+00      0.3254E-01
      0.2187E+00      0.0000E+00      0.0000E+00      0.2096E+01      0.9094E+00      0.3254E-01
      0.2195E+00      0.0000E+00      0.0000E+00      0.2096E+01      0.9087E+00      0.3253E-01
      0.2204E+00      0.0000E+00      0.0000E+00      0.2097E+01      0.9080E+00      0.3252E-01
      0.2213E+00      0.0000E+00      0.0000E+00      0.2098E+01      0.9074E+00      0.3252E-01
      0.2222E+00      0.0000E+00      0.0000E+00      0.2099E+01      0.9067E+00      0.3251E-01
      0.2230E+00      0.0000E+00      0.0000E+00      0.2099E+01      0.9060E+00      0.3250E-01
      0.2239E+00      0.0000E+00      0.0000E+00      0.2100E+01      0.9053E+00      0.3250E-01
      0.2248E+00      0.0000E+00      0.0000E+00      0.2101E+01      0.9046E+00      0.3249E-01
      0.2257E+00      0.0000E+00      0.0000E+00      0.2102E+01      0.9039E+00      0.3248E-01
      0.2266E+00      0.0000E+00      0.0000E+00      0.2103E+01      0.9032E+00      0.3248E-01
      0.2274E+00      0.0000E+00      0.0000E+00      0.2103E+01      0.9025E+00      0.3247E-01
      0.2283E+00      0.0000E+00      0.0000E+00      0.2104E+01      0.9018E+00      0.3246E-01
      0.2292E+00      0.0000E+00      0.0000E+00      0.2105E+01      0.9011E+00      0.3246E-01
      0.2301E+00      0.0000E+00      0.0000E+00      0.2106E+01      0.9004E+00      0.3245E-01
      0.2310E+00      0.0000E+00      0.0000E+00      0.2107E+01      0.8997E+00      0.3244E-01
      0.2318E+00      0.0000E+00      0.0000E+00      0.2107E+01      0.8990E+00      0.3244E-01
      0.2327E+00      0.0000E+00      0.0000E+00      0.2108E+01      0.8983E+00      0.3243E-01
      0.2336E+00      0.0000E+00      0.0000E+00      0.2109E+01      0.8976E+00      0.3242E-01
      0.2345E+00      0.0000E+00      0.0000E+00      0.2110E+01      0.8969E+00      0.3242E-01
      0.2354E+00      0.0000E+00      0.0000E+00      0.2111E+01      0.8962E+00      0.3241E-01
      0.2362E+00      0.0000E+00      0.0000E+00      0.2112E+01      0.8955E+00      0.3240E-01
      0.2371E+00      0.0000E+00      0.0000E+00      0.2112E+01      0.8947E+00      0.3240E-01
      0.2380E+00      0.0000E+00      0.0000E+00      0.2113E+01      0.8940E+00      0.3239E-01
      0.2389E+00      0.0000E+00      0.0000E+00      0.2114E+01      0.8933E+00      0.3238E-01
      0.2397E+00      0.0000E+00      0.0000E+00      0.2115E+01      0.8926E+00      0.3238E-01
      0.2406E+00      0.0000E+00      0.0000E+00      0.2116E+01      0.8919E+00      0.3237E-01
      0.2415E+00      0.0000E+00      0.0000E+00      0.2117E+01      0.8911E+00      0.3236E-01
      0.2424E+00      0.0000E+00      0.0000E+00      0.2117E+01      0.8904E+00      0.3235E-01
      0.2433E+00      0.0000E+00      0.0000E+00      0.2118E+01      0.8897E+00      0.3235E-01
      0.2441E+00      0.0000E+00      0.0000E+00      0.2119E+01      0.8889E+00      0.3234E-01
      0.2450E+00      0.0000E+00      0.0000E+00      0.2120E+01      0.8882E+00      0.3233E-01
      0.2459E+00      0.0000E+00      0.0000E+00      0.2121E+01      0.8875E+00      0.3233E-01
      0.2468E+00      0.0000E+00      0.0000E+00      0.2122E+01      0.8867E+00      0.3232E-01
      0.2477E+00      0.0000E+00      0.0000E+00      0.2123E+01      0.8860E+00      0.3231E-01
      0.2485E+00      0.0000E+00      0.0000E+00      0.2124E+01      0.8853E+00      0.3230E-01
      0.2494E+00      0.0000E+00      0.0000E+00      0.2124E+01      0.8845E+00      0.3230E-01
      0.2503E+00      0.0000E+00      0.0000E+00      0.2125E+01      0.8838E+00      0.3229E-01
      0.2512E+00      0.0000E+00      0.0000E+00      0.2126E+01      0.8830E+00      0.3228E-01
      0.2521E+00      0.0000E+00      0.0000E+00      0.2127E+01      0.8823E+00      0.3227E-01
      0.2529E+00      0.0000E+00      0.0000E+00      0.2128E+01      0.8815E+00      0.3227E-01
      0.2538E+00      0.0000E+00      0.0000E+00      0.2129E+01      0.8808E+00      0.3226E-01
      0.2547E+00      0.0000E+00      0.0000E+00      0.2130E+01      0.8800E+00      0.3225E-01
      0.2556E+00      0.0000E+00      0.0000E+00      0.2131E+01      0.8793E+00      0.3224E-01
      0.2564E+00      0.0000E+00      0.0000E+00      0.2132E+01      0.8785E+00      0.3224E-01
      0.2573E+00      0.0000E+00      0.0000E+00      0.2132E+01      0.8778E+00      0.3223E-01
      0.2582E+00      0.0000E+00      0.0000E+00      0.2133E+01      0.8770E+00      0.3222E-01
      0.2591E+00      0.0000E+00      0.0000E+00      0.2134E+01      0.8763E+00      0.3221E-01
      0.2600E+00      0.0000E+00      0.0000E+00      0.2135E+01      0.8755E+00      0.3221E-01
      0.2608E+00      0.0000E+00      0.0000E+00      0.2136E+01      0.8747E+00      0.3220E-01
      0.2617E+00      0.0000E+00      0.0000E+00      0.2137E+01      0.8740E+00      0.3219E-01
      0.2626E+00      0.0000E+00      0.0000E+00      0.2138E+01      0.8732E+00      0.3218E-01
      0.2635E+00      0.0000E+00      0.0000E+00      0.2139E+01      0.8724E+00      0.3218E-01
      0.2644E+00      0.0000E+00      0.0000E+00      0.2140E+01      0.8717E+00      0.3217E-01
