               r         Re(p_n)         Im(p_n)
      0.8523E+00      0.1162E+00      0.7933E-13
      0.8559E+00      0.8902E-01      0.6077E-13
      0.8594E+00      0.6717E-01      0.4586E-13
      0.8629E+00      0.4990E-01      0.3406E-13
      0.8664E+00      0.3644E-01      0.2488E-13
      0.8699E+00      0.2613E-01      0.1784E-13
      0.8734E+00      0.1834E-01      0.1252E-13
      0.8770E+00      0.1256E-01      0.8576E-14
      0.8805E+00      0.8342E-02      0.5695E-14
      0.8840E+00      0.5318E-02      0.3630E-14
      0.8875E+00      0.3195E-02      0.2181E-14
      0.8910E+00      0.1740E-02      0.1188E-14
      0.8945E+00      0.7708E-03      0.5262E-15
      0.8980E+00      0.1487E-03      0.1015E-15
      0.9016E+00      0.2305E-03      0.1573E-15
      0.9051E+00      0.4437E-03      0.3029E-15
      0.9086E+00      0.5465E-03      0.3731E-15
      0.9121E+00      0.5785E-03      0.3950E-15
      0.9156E+00      0.5674E-03      0.3873E-15
      0.9191E+00      0.5317E-03      0.3630E-15
      0.9227E+00      0.4839E-03      0.3303E-15
      0.9262E+00      0.4318E-03      0.2948E-15
      0.9297E+00      0.3803E-03      0.2596E-15
      0.9332E+00      0.3318E-03      0.2265E-15
      0.9367E+00      0.2878E-03      0.1965E-15
      0.9402E+00      0.2486E-03      0.1697E-15
      0.9437E+00      0.2142E-03      0.1462E-15
      0.9473E+00      0.1842E-03      0.1258E-15
      0.9508E+00      0.1582E-03      0.1080E-15
      0.9543E+00      0.1357E-03      0.9263E-16
      0.9578E+00      0.1161E-03      0.7929E-16
      0.9613E+00      0.9916E-04      0.6770E-16
      0.9648E+00      0.8434E-04      0.5758E-16
      0.9684E+00      0.7135E-04      0.4871E-16
      0.9719E+00      0.5989E-04      0.4089E-16
      0.9754E+00      0.4972E-04      0.3395E-16
      0.9789E+00      0.4064E-04      0.2774E-16
      0.9824E+00      0.3245E-04      0.2216E-16
      0.9859E+00      0.2502E-04      0.1708E-16
      0.9895E+00      0.1819E-04      0.1242E-16
      0.9930E+00      0.1183E-04      0.8078E-17
      0.9965E+00      0.5819E-05      0.3973E-17
      0.1000E+01      0.0000E+00      0.0000E+00
