               n               m        E_phi_nm        E_psi_nm          E_p_nm
      0.2600E+02     -0.1690E+03      0.9266E-35      0.1141E-31      0.3461E-26
      0.2700E+02     -0.1690E+03      0.5894E-35      0.3503E-32      0.2210E-26
      0.2800E+02     -0.1690E+03      0.3340E-35      0.1833E-32      0.9391E-27
      0.2900E+02     -0.1690E+03      0.1909E-35      0.1418E-32      0.6082E-27
      0.3000E+02     -0.1690E+03      0.1150E-35      0.1901E-32      0.6833E-27
      0.3100E+02     -0.1690E+03      0.6823E-36      0.5777E-33      0.2834E-27
      0.3200E+02     -0.1690E+03      0.3879E-36      0.2272E-33      0.1298E-27
      0.3300E+02     -0.1690E+03      0.2296E-36      0.1629E-33      0.7225E-28
      0.3400E+02     -0.1690E+03      0.1385E-36      0.9745E-34      0.3430E-28
      0.3500E+02     -0.1690E+03      0.7910E-37      0.6483E-34      0.2881E-28
      0.3600E+02     -0.1690E+03      0.4314E-37      0.3551E-34      0.1570E-28
      0.3700E+02     -0.1690E+03      0.2379E-37      0.1396E-34      0.7205E-29
      0.3800E+02     -0.1690E+03      0.1114E-37      0.9692E-35      0.5676E-29
      0.3900E+02     -0.1690E+03      0.5666E-38      0.3450E-35      0.2326E-29
      0.4000E+02     -0.1690E+03      0.2900E-38      0.1458E-35      0.9274E-30
 
     -0.4000E+02     -0.1680E+03      0.1400E-11      0.1775E-11      0.8110E-10
     -0.3900E+02     -0.1680E+03      0.6899E-13      0.8449E-13      0.8111E-12
     -0.3800E+02     -0.1680E+03      0.2504E-13      0.2007E-13      0.1139E-12
     -0.3700E+02     -0.1680E+03      0.9952E-14      0.9666E-14      0.6320E-13
     -0.3600E+02     -0.1680E+03      0.4759E-14      0.5189E-14      0.2972E-13
     -0.3500E+02     -0.1680E+03      0.2459E-14      0.2121E-14      0.1604E-13
     -0.3400E+02     -0.1680E+03      0.8406E-15      0.6392E-15      0.6637E-14
     -0.3300E+02     -0.1680E+03      0.2775E-15      0.1948E-15      0.4705E-14
     -0.3200E+02     -0.1680E+03      0.7247E-16      0.4974E-16      0.2055E-14
     -0.3100E+02     -0.1680E+03      0.2309E-16      0.1412E-16      0.1492E-14
     -0.3000E+02     -0.1680E+03      0.5502E-17      0.3179E-17      0.7125E-15
     -0.2900E+02     -0.1680E+03      0.1389E-17      0.7613E-18      0.4571E-15
     -0.2800E+02     -0.1680E+03      0.6055E-18      0.2447E-18      0.2478E-15
     -0.2700E+02     -0.1680E+03      0.2007E-18      0.4396E-19      0.1509E-15
     -0.2600E+02     -0.1680E+03      0.9669E-19      0.1835E-19      0.9220E-16
     -0.2500E+02     -0.1680E+03      0.4373E-19      0.7390E-20      0.4913E-16
     -0.2400E+02     -0.1680E+03      0.1673E-19      0.2292E-20      0.2099E-16
     -0.2300E+02     -0.1680E+03      0.6938E-20      0.9067E-21      0.9772E-17
     -0.2200E+02     -0.1680E+03      0.2856E-20      0.3993E-21      0.5254E-17
     -0.2100E+02     -0.1680E+03      0.8538E-21      0.1523E-21      0.2958E-17
     -0.2000E+02     -0.1680E+03      0.3253E-21      0.8067E-22      0.1808E-17
     -0.1900E+02     -0.1680E+03      0.1301E-21      0.3572E-22      0.1338E-17
     -0.1800E+02     -0.1680E+03      0.4297E-22      0.1772E-22      0.7559E-18
     -0.1700E+02     -0.1680E+03      0.1712E-22      0.8238E-23      0.4531E-18
     -0.1600E+02     -0.1680E+03      0.5076E-23      0.4356E-23      0.2809E-18
     -0.1500E+02     -0.1680E+03      0.2124E-23      0.2596E-23      0.1694E-18
     -0.1400E+02     -0.1680E+03      0.8157E-24      0.1803E-23      0.1224E-18
     -0.1300E+02     -0.1680E+03      0.3462E-24      0.1074E-23      0.8296E-19
     -0.1200E+02     -0.1680E+03      0.1545E-24      0.5552E-24      0.5628E-19
     -0.1100E+02     -0.1680E+03      0.7727E-25      0.2924E-24      0.3517E-19
     -0.1000E+02     -0.1680E+03      0.3445E-25      0.1780E-24      0.2444E-19
     -0.9000E+01     -0.1680E+03      0.1312E-25      0.1142E-24      0.1853E-19
     -0.8000E+01     -0.1680E+03      0.4823E-26      0.7280E-25      0.1361E-19
     -0.7000E+01     -0.1680E+03      0.2204E-26      0.4713E-25      0.9377E-20
     -0.6000E+01     -0.1680E+03      0.1102E-26      0.2843E-25      0.5679E-20
     -0.5000E+01     -0.1680E+03      0.5668E-27      0.1763E-25      0.3557E-20
     -0.4000E+01     -0.1680E+03      0.2781E-27      0.1016E-25      0.2227E-20
     -0.3000E+01     -0.1680E+03      0.1657E-27      0.7219E-26      0.1571E-20
     -0.2000E+01     -0.1680E+03      0.9937E-28      0.5225E-26      0.1222E-20
